Score,Date,Scent
1,"December 13, 2021",Pink Sands
5,"December 12, 2021",Lilac Blossoms
5,"December 11, 2021",Lilac Blossoms
3,"December 11, 2021",White Gardenia
5,"December 10, 2021",Fresh Cut Roses
5,"December 10, 2021",White Gardenia
5,"December 10, 2021",Pink Sands
5,"December 9, 2021",Lilac Blossoms
4,"December 9, 2021",Midnight Jasmine
1,"December 9, 2021",Beach Walk
5,"December 9, 2021",Lilac Blossoms
5,"December 9, 2021",Pink Sands
5,"December 8, 2021","Lavender, Lilac Blossoms"
5,"December 8, 2021",Pink Sands
4,"December 8, 2021",Pink Sands
1,"December 8, 2021",Beach Walk
5,"December 6, 2021",Lavender
1,"December 6, 2021",White Gardenia
2,"December 6, 2021","Lavender, Lilac Blossoms"
5,"December 5, 2021",Pink Sands
5,"December 4, 2021",Fresh Cut Roses
5,"December 4, 2021",Pink Sands
5,"December 4, 2021",Pink Sands
5,"December 4, 2021",Pink Sands
5,"December 4, 2021",Pink Sands
1,"December 3, 2021",Pink Sands
5,"December 2, 2021",Pink Sands
1,"December 2, 2021",Pink Sands
5,"December 2, 2021",Beach Walk
5,"December 2, 2021",Pink Sands
4,"December 1, 2021",Pink Sands
1,"December 1, 2021",Lavender Vanilla
2,"November 30, 2021",Fresh Cut Roses
5,"November 29, 2021",Pink Sands
1,"November 28, 2021",Wild Orchid
5,"November 28, 2021",Wild Orchid
5,"November 28, 2021",Lilac Blossoms
5,"November 28, 2021",Pink Sands
5,"November 28, 2021",Lilac Blossoms
5,"November 25, 2021",Lilac Blossoms
5,"November 25, 2021",Lilac Blossoms
1,"November 25, 2021",White Gardenia
1,"November 25, 2021",Pink Sands
5,"November 24, 2021",Midnight Jasmine
1,"November 24, 2021",Lilac Blossoms
1,"November 23, 2021",Sun-Drenched Apricot Rose
5,"November 23, 2021",Wild Orchid
5,"November 23, 2021",Lilac Blossoms
1,"November 23, 2021",White Gardenia
5,"November 21, 2021",Pink Sands
1,"November 20, 2021",Pink Sands
1,"November 18, 2021",Pink Sands
1,"November 18, 2021",Black Coconut
5,"November 17, 2021",Fresh Cut Roses
5,"November 16, 2021",Lilac Blossoms
5,"November 16, 2021",Lavender Vanilla
5,"November 15, 2021",Pink Sands
5,"November 15, 2021",Pink Sands
2,"November 15, 2021",Pink Sands
5,"November 14, 2021",Pink Sands
1,"November 14, 2021",Pink Sands
5,"November 10, 2021",Wild Orchid
5,"November 9, 2021",Fresh Cut Roses
1,"November 9, 2021",A Calm & Quiet Place
5,"November 9, 2021",Golden Sands
1,"November 8, 2021",White Gardenia
5,"November 8, 2021",White Gardenia
5,"November 7, 2021",Midnight Jasmine
5,"November 5, 2021",Fresh Cut Roses
1,"November 5, 2021",Lilac Blossoms
5,"November 5, 2021",Fresh Cut Roses
5,"November 5, 2021",Midnight Jasmine
5,"November 5, 2021",Lilac Blossoms
5,"November 3, 2021",Fresh Cut Roses
4,"November 3, 2021",Midnight Jasmine
5,"November 2, 2021",Pink Sands
5,"November 2, 2021",Lilac Blossoms
5,"October 31, 2021",Sun & Sand
5,"October 30, 2021",Lilac Blossoms
5,"October 30, 2021",Pink Sands
5,"October 29, 2021",Flowers in the Sun
5,"October 29, 2021",White Gardenia
2,"October 28, 2021",Beach Walk
5,"October 28, 2021",Midnight Jasmine
2,"October 27, 2021",Enchanted Moon
5,"October 26, 2021",Lilac Blossoms
1,"October 26, 2021",Fresh Cut Roses
5,"October 25, 2021",Fresh Cut Roses
5,"October 25, 2021",Lilac Blossoms
4,"October 23, 2021",Wedding Day
5,"October 20, 2021",Lilac Blossoms
5,"October 20, 2021",Lilac Blossoms
5,"October 19, 2021",Lilac Blossoms
1,"October 17, 2021","Lavender, Lilac Blossoms"
5,"October 17, 2021",Pink Sands
1,"October 15, 2021",Pink Sands
5,"October 15, 2021",Lilac Blossoms
5,"October 14, 2021",Pink Sands
5,"October 11, 2021",Pink Sands
5,"October 10, 2021",Midnight Jasmine
5,"October 10, 2021",Lilac Blossoms
1,"October 10, 2021",Midnight Jasmine
1,"October 9, 2021",Lilac Blossoms
1,"October 8, 2021",Lilac Blossoms
1,"October 7, 2021",Lilac Blossoms
5,"October 6, 2021",Pink Sands
5,"October 4, 2021",Midnight Jasmine
5,"October 3, 2021",Lilac Blossoms
3,"October 3, 2021",Pink Sands
5,"October 3, 2021",Pink Sands
2,"October 2, 2021","Lavender, Lilac Blossoms"
5,"October 2, 2021",Lilac Blossoms
5,"October 2, 2021",Pink Sands
1,"October 2, 2021",Pink Sands
5,"October 1, 2021",Pink Sands
1,"October 1, 2021",Lilac Blossoms
5,"September 30, 2021",Lilac Blossoms
5,"September 30, 2021",Pink Sands
1,"September 29, 2021",Pink Sands
5,"September 29, 2021",Midnight Jasmine
4,"September 28, 2021",Sun & Sand
1,"September 26, 2021",Pink Sands
5,"September 25, 2021",Sun & Sand
5,"September 25, 2021",Fresh Cut Roses
5,"September 24, 2021",Beach Walk
3,"September 23, 2021",White Gardenia
5,"September 22, 2021",Golden Sands
1,"September 22, 2021",White Gardenia
5,"September 21, 2021",Sun & Sand
4,"September 21, 2021",Pink Sands
5,"September 20, 2021",Midnight Jasmine
1,"September 20, 2021",Lilac Blossoms
5,"September 20, 2021",Pink Sands
5,"September 20, 2021",Pink Sands
1,"September 19, 2021",Lilac Blossoms
5,"September 19, 2021",Midnight Jasmine
5,"September 18, 2021",Lilac Blossoms
5,"September 17, 2021",Enchanted Moon
5,"September 17, 2021",Lilac Blossoms
5,"September 17, 2021",Pink Sands
1,"September 16, 2021",Midnight Jasmine
5,"September 16, 2021",Sun & Sand
1,"September 16, 2021",Midnight Jasmine
1,"September 15, 2021",Lilac Blossoms
5,"September 15, 2021",Beach Walk
5,"September 15, 2021",Pink Sands
2,"September 14, 2021",Flowers in the Sun
1,"September 14, 2021",Enchanted Moon
4,"September 13, 2021",Beach Walk
5,"September 12, 2021",Fresh Cut Roses
5,"September 11, 2021",Lilac Blossoms
5,"September 10, 2021",Beach Walk
5,"September 10, 2021",Pink Sands
3,"September 9, 2021",Wild Orchid
5,"September 9, 2021",Midnight Jasmine
1,"September 9, 2021","Lavender, Lilac Blossoms"
5,"September 9, 2021",Pink Sands
2,"September 8, 2021",Enchanted Moon
5,"September 7, 2021",Lilac Blossoms
1,"September 5, 2021",Lilac Blossoms
5,"September 5, 2021",Lilac Blossoms
2,"September 4, 2021",Beach Walk
1,"September 4, 2021",Pink Sands
5,"September 3, 2021",Lilac Blossoms
5,"September 3, 2021",Lilac Blossoms
5,"September 3, 2021",Flowers in the Sun
1,"September 3, 2021",Lilac Blossoms
5,"September 3, 2021",Midnight Jasmine
1,"September 2, 2021",Sun & Sand
1,"September 2, 2021",Lilac Blossoms
5,"September 1, 2021","Lavender, Lilac Blossoms"
5,"August 31, 2021",Pink Sands
4,"August 31, 2021",Sun & Sand
5,"August 30, 2021",Beach Walk
1,"August 29, 2021",Beach Walk
3,"August 29, 2021",Pink Sands
5,"August 28, 2021",Black Coconut
5,"August 28, 2021",Lilac Blossoms
1,"August 28, 2021",Fresh Cut Roses
5,"August 26, 2021",Lilac Blossoms
5,"August 26, 2021",Sun & Sand
2,"August 26, 2021",Fresh Cut Roses
5,"August 26, 2021",Sun & Sand
4,"August 25, 2021",Pink Sands
1,"August 25, 2021",Lilac Blossoms
2,"August 25, 2021",Lilac Blossoms
5,"August 24, 2021",Fresh Cut Roses
5,"August 23, 2021",Beach Walk
5,"August 23, 2021",Black Coconut
1,"August 23, 2021",Lilac Blossoms
5,"August 23, 2021",Lilac Blossoms
5,"August 23, 2021",Sun & Sand
4,"August 22, 2021",Lilac Blossoms
5,"August 22, 2021",Lilac Blossoms
5,"August 22, 2021",Pink Sands
5,"August 21, 2021",Enchanted Moon
5,"August 21, 2021",Lilac Blossoms
4,"August 21, 2021",Pink Sands
5,"August 21, 2021",Lilac Blossoms
5,"August 20, 2021",Pink Sands
1,"August 20, 2021",Pink Sands
5,"August 19, 2021",White Gardenia
2,"August 19, 2021",Lilac Blossoms
1,"August 19, 2021",Lilac Blossoms
5,"August 18, 2021",Pink Sands
5,"August 18, 2021",Wild Orchid
5,"August 18, 2021",Pink Sands
1,"August 18, 2021",Lilac Blossoms
1,"August 18, 2021",Pink Sands
1,"August 17, 2021",Lilac Blossoms
5,"August 17, 2021",Lilac Blossoms
5,"August 17, 2021",White Gardenia
4,"August 17, 2021",Lilac Blossoms
5,"August 15, 2021",Black Coconut
5,"August 15, 2021",Pink Sands
1,"August 15, 2021",Lavender Vanilla
2,"August 14, 2021",Pink Sands
5,"August 13, 2021",Enchanted Moon
1,"August 13, 2021",White Gardenia
1,"August 13, 2021",Black Sand Beach
5,"August 12, 2021",Fresh Cut Roses
5,"August 10, 2021",Lilac Blossoms
1,"August 10, 2021",Lilac Blossoms
5,"August 10, 2021",Sun & Sand
5,"August 10, 2021",Pink Sands
5,"August 9, 2021",Pink Sands
2,"August 9, 2021",Midnight Jasmine
2,"August 9, 2021",Lilac Blossoms
5,"August 9, 2021",Fresh Cut Roses
5,"August 9, 2021",Sun & Sand
1,"August 9, 2021",Enchanted Moon
5,"August 8, 2021",Sun & Sand
5,"August 8, 2021",Lilac Blossoms
5,"August 7, 2021",Pink Sands
1,"August 6, 2021",Lilac Blossoms
1,"August 6, 2021",Beach Walk
4,"August 5, 2021",Lilac Blossoms
5,"August 5, 2021",Pink Sands
5,"August 4, 2021",Fresh Cut Roses
5,"August 4, 2021",Lilac Blossoms
2,"August 4, 2021",Pink Sands
5,"August 3, 2021",Lilac Blossoms
5,"August 2, 2021",Lavender
5,"August 2, 2021",Pink Sands
1,"August 2, 2021",Lilac Blossoms
3,"August 2, 2021",Midnight Jasmine
5,"August 2, 2021",Lavender Vanilla
1,"August 1, 2021",Pink Sands
5,"August 1, 2021",Lilac Blossoms
5,"August 1, 2021",Fresh Cut Roses
1,"July 31, 2021",Lilac Blossoms
5,"July 31, 2021",Lilac Blossoms
5,"July 30, 2021",Pink Sands
5,"July 30, 2021",Pink Sands
5,"July 29, 2021",White Gardenia
1,"July 29, 2021",Sun & Sand
1,"July 29, 2021",Lilac Blossoms
5,"July 27, 2021",Lilac Blossoms
5,"July 27, 2021",Flowers in the Sun
5,"July 26, 2021",Pink Sands
5,"July 25, 2021",Lavender Vanilla
1,"July 24, 2021",Cherry Blossom
5,"July 24, 2021",Honey Lavender Gelato
3,"July 24, 2021",Midnight Jasmine
5,"July 23, 2021",Lilac Blossoms
5,"July 23, 2021",Lilac Blossoms
5,"July 23, 2021",Pink Sands
5,"July 22, 2021",Fresh Cut Roses
5,"July 22, 2021",Pink Sands
5,"July 22, 2021",Midnight Jasmine
5,"July 21, 2021",White Gardenia
5,"July 21, 2021",Pink Sands
5,"July 20, 2021",Midnight Jasmine
5,"July 20, 2021",Pink Sands
5,"July 19, 2021",Midnight Jasmine
5,"July 19, 2021",White Gardenia
3,"July 19, 2021",Sun & Sand
5,"July 19, 2021",Fresh Cut Roses
5,"July 18, 2021",Honey Lavender Gelato
2,"July 18, 2021",Black Sand Beach
5,"July 16, 2021",Sun & Sand
5,"July 16, 2021",Pink Sands
5,"July 15, 2021",Pink Sands
5,"July 15, 2021",Pink Sands
5,"July 15, 2021",Pink Sands
3,"July 15, 2021",Lavender Vanilla
4,"July 15, 2021",White Gardenia
5,"July 14, 2021",Pink Sands
5,"July 14, 2021",Lilac Blossoms
5,"July 14, 2021",Fresh Cut Roses
5,"July 14, 2021",Pink Sands
5,"July 14, 2021",Lilac Blossoms
5,"July 13, 2021",Sun & Sand
5,"July 13, 2021",Pink Sands
5,"July 13, 2021",Fresh Cut Roses
5,"July 12, 2021",Sun & Sand
5,"July 12, 2021",Pink Sands
5,"July 12, 2021",Pink Sands
5,"July 11, 2021",Pink Sands
5,"July 11, 2021",White Gardenia
5,"July 11, 2021",Wild Orchid
1,"July 11, 2021",White Gardenia
3,"July 10, 2021",Lilac Blossoms
1,"July 10, 2021",Lilac Blossoms
1,"July 9, 2021",Lilac Blossoms
5,"July 9, 2021",Fresh Cut Roses
5,"July 9, 2021",White Gardenia
5,"July 9, 2021",Fresh Cut Roses
5,"July 8, 2021",Lilac Blossoms
5,"July 8, 2021",Lavender Vanilla
5,"July 8, 2021",White Gardenia
5,"July 8, 2021",Lilac Blossoms
2,"July 8, 2021",Lilac Blossoms
5,"July 7, 2021",Pink Sands
3,"July 7, 2021",Lilac Blossoms
3,"July 7, 2021",Lavender Vanilla
5,"July 7, 2021",Fresh Cut Roses
2,"July 6, 2021",Lavender Vanilla
3,"July 6, 2021",Lilac Blossoms
5,"July 6, 2021",Pink Sands
5,"July 6, 2021",Lilac Blossoms
5,"July 5, 2021",Fresh Cut Roses
4,"July 4, 2021",Beach Walk
5,"July 4, 2021",Sun & Sand
4,"July 4, 2021",Pink Sands
5,"July 4, 2021",Sun & Sand
1,"July 3, 2021",Fresh Cut Roses
1,"July 3, 2021",Enchanted Moon
5,"July 3, 2021",Midnight Jasmine
1,"July 3, 2021",Midnight Jasmine
5,"July 3, 2021",Wild Orchid
5,"July 2, 2021",Lilac Blossoms
5,"July 2, 2021",Pink Sands
5,"July 2, 2021",Lilac Blossoms
5,"July 2, 2021",Lilac Blossoms
5,"July 2, 2021",Pink Sands
5,"July 2, 2021",Beach Walk
5,"July 1, 2021",Lilac Blossoms
4,"June 30, 2021",Pink Sands
5,"June 30, 2021",Lilac Blossoms
5,"June 30, 2021",Pink Sands
5,"June 29, 2021",Lilac Blossoms
5,"June 29, 2021",Pink Sands
5,"June 29, 2021",Beach Walk
5,"June 29, 2021",Midnight Jasmine
5,"June 29, 2021",Honey Lavender Gelato
5,"June 29, 2021",Lilac Blossoms
5,"June 28, 2021",Lilac Blossoms
5,"June 28, 2021",Lilac Blossoms
5,"June 27, 2021",Pink Sands
5,"June 27, 2021",Fresh Cut Roses
4,"June 26, 2021",White Gardenia
5,"June 26, 2021",Sun & Sand
4,"June 26, 2021",Pink Sands
1,"June 26, 2021",Midnight Jasmine
5,"June 26, 2021",Pink Sands
5,"June 26, 2021",Fresh Cut Roses
1,"June 24, 2021",Pink Sands
1,"June 24, 2021",Fresh Cut Roses
2,"June 24, 2021",Fresh Cut Roses
5,"June 24, 2021",Pink Sands
5,"June 24, 2021",Lilac Blossoms
5,"June 23, 2021",Pink Sands
5,"June 23, 2021",Fresh Cut Roses
5,"June 23, 2021",Lavender Vanilla
5,"June 23, 2021",Pink Sands
5,"June 23, 2021",Sun-Drenched Apricot Rose
5,"June 21, 2021",Pink Sands
2,"June 21, 2021",White Gardenia
1,"June 21, 2021",White Gardenia
5,"June 21, 2021",Pink Sands
5,"June 20, 2021",Lilac Blossoms
5,"June 19, 2021",Midnight Jasmine
5,"June 19, 2021",Pink Sands
5,"June 19, 2021",Pink Sands
5,"June 19, 2021",Pink Sands
5,"June 19, 2021",Lilac Blossoms
5,"June 18, 2021",Lilac Blossoms
5,"June 18, 2021",Lilac Blossoms
3,"June 15, 2021",Black Coconut
2,"June 15, 2021",Honey Lavender Gelato
3,"June 15, 2021",Pink Sands
5,"June 14, 2021",Lilac Blossoms
4,"June 13, 2021",Beach Walk
2,"June 13, 2021",Fresh Cut Roses
5,"June 13, 2021",Pink Sands
5,"June 12, 2021",Lilac Blossoms
3,"June 11, 2021",Pink Sands
5,"June 11, 2021",Honey Lavender Gelato
5,"June 10, 2021",Lilac Blossoms
4,"June 10, 2021",Lilac Blossoms
5,"June 10, 2021",Pink Sands
5,"June 9, 2021",Pink Sands
5,"June 9, 2021",Lavender
4,"June 8, 2021",Lilac Blossoms
5,"June 8, 2021",Pink Sands
5,"June 7, 2021",Pink Sands
5,"June 5, 2021",Pink Sands
5,"June 5, 2021",Fresh Cut Roses
1,"June 5, 2021",Lilac Blossoms
5,"June 5, 2021",Pink Sands
5,"June 4, 2021",Lilac Blossoms
1,"June 3, 2021",Pink Sands
5,"June 2, 2021",White Gardenia
1,"June 2, 2021",Beach Walk
5,"June 1, 2021",Tahitian Nights
5,"June 1, 2021",Fresh Cut Roses
5,"May 31, 2021",Lilac Blossoms
5,"May 30, 2021",Lilac Blossoms
1,"May 30, 2021",Lilac Blossoms
1,"May 29, 2021",Pink Sands
5,"May 29, 2021",Pink Sands
5,"May 28, 2021",White Gardenia
5,"May 27, 2021",Pink Sands
5,"May 27, 2021",Pink Sands
5,"May 26, 2021",Lilac Blossoms
5,"May 25, 2021",Lilac Blossoms
1,"May 25, 2021",Lilac Blossoms
5,"May 24, 2021",Pink Sands
5,"May 24, 2021",Fresh Cut Roses
5,"May 24, 2021",Color Me Happy
5,"May 24, 2021",Lilac Blossoms
5,"May 24, 2021",Pink Sands
5,"May 23, 2021",Midnight Jasmine
5,"May 23, 2021",Pink Sands
5,"May 23, 2021",Sun & Sand
5,"May 23, 2021",Lilac Blossoms
5,"May 22, 2021",Lilac Blossoms
2,"May 22, 2021",Pink Sands
5,"May 21, 2021",Lilac Blossoms
5,"May 21, 2021",Lilac Blossoms
2,"May 21, 2021",Pink Sands
5,"May 21, 2021",Lilac Blossoms
5,"May 21, 2021",Lilac Blossoms
1,"May 20, 2021",Lilac Blossoms
5,"May 20, 2021",Lilac Blossoms
5,"May 20, 2021",Pink Sands
5,"May 19, 2021",Lilac Blossoms
2,"May 19, 2021",Lilac Blossoms
5,"May 19, 2021",Flowers in the Sun
5,"May 19, 2021",Lilac Blossoms
5,"May 19, 2021",Lilac Blossoms
5,"May 18, 2021",Lilac Blossoms
5,"May 18, 2021",Pink Sands
5,"May 18, 2021",Pink Sands
1,"May 17, 2021",Lavender Vanilla
5,"May 16, 2021",Fresh Cut Roses
5,"May 16, 2021",Pink Sands
5,"May 15, 2021",Lilac Blossoms
4,"May 15, 2021",Lavender Vanilla
4,"May 15, 2021",White Gardenia
1,"May 14, 2021",Pink Sands
5,"May 14, 2021",Lilac Blossoms
5,"May 14, 2021",Pink Sands
5,"May 14, 2021",Lilac Blossoms
5,"May 14, 2021",Lavender
5,"May 14, 2021",Enchanted Moon
5,"May 12, 2021",Midnight Jasmine
5,"May 12, 2021",Lilac Blossoms
5,"May 12, 2021",Sunset Fields
1,"May 12, 2021",Lilac Blossoms
5,"May 11, 2021",Lilac Blossoms
5,"May 11, 2021",Lilac Blossoms
5,"May 11, 2021",Lilac Blossoms
5,"May 11, 2021",Lilac Blossoms
5,"May 11, 2021",Fresh Cut Roses
5,"May 10, 2021",Lilac Blossoms
4,"May 10, 2021",Wild Orchid
5,"May 10, 2021",Midnight Jasmine
5,"May 10, 2021",Pink Sands
5,"May 10, 2021",Lilac Blossoms
5,"May 10, 2021","Lavender, Lilac Blossoms"
1,"May 9, 2021",Lavender
5,"May 9, 2021",Pink Sands
5,"May 8, 2021",Lilac Blossoms
5,"May 8, 2021",Lilac Blossoms
4,"May 8, 2021",Lavender
5,"May 7, 2021",Pink Sands
5,"May 7, 2021",Lilac Blossoms
5,"May 7, 2021",Sun-Drenched Apricot Rose
5,"May 7, 2021",Pink Sands
5,"May 7, 2021",Lilac Blossoms
5,"May 6, 2021",Lilac Blossoms
5,"May 6, 2021",Lilac Blossoms
5,"May 6, 2021",Lilac Blossoms
5,"May 6, 2021",Lilac Blossoms
5,"May 5, 2021",Lilac Blossoms
2,"May 5, 2021",White Gardenia
4,"May 5, 2021",White Gardenia
1,"May 5, 2021",Lilac Blossoms
5,"May 5, 2021",Pink Sands
5,"May 5, 2021",Lilac Blossoms
1,"May 4, 2021",Lilac Blossoms
5,"May 4, 2021",Lilac Blossoms
5,"May 4, 2021",Sun & Sand
3,"May 3, 2021",Black Coconut
5,"May 3, 2021",Lilac Blossoms
5,"May 3, 2021",Lilac Blossoms
5,"May 3, 2021",Lilac Blossoms
5,"May 3, 2021",Black Coconut
1,"May 3, 2021",Lilac Blossoms
2,"May 2, 2021",Lilac Blossoms
5,"May 2, 2021",Pink Sands
5,"May 2, 2021",Lilac Blossoms
1,"May 2, 2021",Lilac Blossoms
5,"May 2, 2021",Lilac Blossoms
5,"May 2, 2021",Lilac Blossoms
5,"May 1, 2021",Lilac Blossoms
5,"May 1, 2021",Lilac Blossoms
5,"May 1, 2021",Fresh Cut Roses
5,"May 1, 2021",Wedding Day
5,"April 30, 2021",Lilac Blossoms
4,"April 30, 2021",Lilac Blossoms
5,"April 30, 2021",Lilac Blossoms
5,"April 29, 2021",Lilac Blossoms
5,"April 29, 2021",Lilac Blossoms
5,"April 28, 2021",Sun & Sand
5,"April 28, 2021",Pink Sands
5,"April 28, 2021",Lilac Blossoms
5,"April 28, 2021",Lilac Blossoms
1,"April 28, 2021",Lilac Blossoms
3,"April 27, 2021",Pink Sands
5,"April 26, 2021",Lilac Blossoms
1,"April 26, 2021",Pink Sands
5,"April 25, 2021",Fresh Cut Roses
5,"April 25, 2021",Lilac Blossoms
1,"April 25, 2021",Lilac Blossoms
5,"April 25, 2021",Lilac Blossoms
5,"April 25, 2021",Lilac Blossoms
5,"April 24, 2021",Lilac Blossoms
5,"April 23, 2021",Lilac Blossoms
5,"April 23, 2021",Lilac Blossoms
3,"April 23, 2021",Lilac Blossoms
5,"April 22, 2021",Lilac Blossoms
1,"April 22, 2021",Lilac Blossoms
5,"April 22, 2021",Honey Lavender Gelato
5,"April 21, 2021",Midnight Jasmine
1,"April 21, 2021",Lilac Blossoms
5,"April 21, 2021",Lilac Blossoms
5,"April 20, 2021",Sun-Drenched Apricot Rose
1,"April 20, 2021",Fresh Cut Roses
2,"April 20, 2021",Golden Sands
5,"April 19, 2021",Black Coconut
1,"April 19, 2021",Lilac Blossoms
2,"April 19, 2021",Sun-Drenched Apricot Rose
3,"April 19, 2021",Sun-Drenched Apricot Rose
4,"April 19, 2021",Pink Sands
5,"April 19, 2021",Lilac Blossoms
2,"April 18, 2021",Lilac Blossoms
1,"April 18, 2021",Lavender
3,"April 18, 2021",Lilac Blossoms
5,"April 17, 2021",Lilac Blossoms
5,"April 17, 2021",Pink Sands
5,"April 17, 2021",Pink Sands
5,"April 17, 2021",Fresh Cut Roses
5,"April 17, 2021",Lilac Blossoms
5,"April 16, 2021",Lilac Blossoms
4,"April 15, 2021",Lilac Blossoms
3,"April 15, 2021",White Gardenia
1,"April 14, 2021",Beach Walk
5,"April 14, 2021",Sun & Sand
5,"April 14, 2021",Lilac Blossoms
4,"April 14, 2021",Lilac Blossoms
5,"April 14, 2021",Lilac Blossoms
5,"April 14, 2021",Lilac Blossoms
4,"April 13, 2021",White Gardenia
5,"April 13, 2021",Beach Walk
1,"April 12, 2021",Lilac Blossoms
5,"April 12, 2021",Pink Sands
5,"April 11, 2021",Lilac Blossoms
2,"April 11, 2021",Pink Sands
5,"April 10, 2021",Midnight Jasmine
5,"April 10, 2021",Pink Sands
3,"April 10, 2021",White Gardenia
5,"April 10, 2021",Pink Sands
5,"April 10, 2021",Lilac Blossoms
5,"April 10, 2021",Pink Sands
5,"April 10, 2021",Lilac Blossoms
5,"April 9, 2021",Lavender
5,"April 9, 2021",Beach Walk
5,"April 8, 2021",Fresh Cut Roses
1,"April 8, 2021",White Gardenia
5,"April 8, 2021",Lilac Blossoms
5,"April 7, 2021",Pink Sands
5,"April 7, 2021",Lilac Blossoms
5,"April 6, 2021",Lilac Blossoms
5,"April 6, 2021",Lilac Blossoms
1,"April 6, 2021",Honey Lavender Gelato
1,"April 6, 2021",Pink Sands
5,"April 6, 2021",Lilac Blossoms
5,"April 5, 2021",White Gardenia
2,"April 4, 2021",Fresh Cut Roses
5,"April 3, 2021",Lilac Blossoms
3,"April 2, 2021",Lilac Blossoms
5,"April 2, 2021",Pink Sands
1,"April 2, 2021",Midnight Jasmine
5,"April 1, 2021",Pink Sands
5,"April 1, 2021",Pink Sands
5,"April 1, 2021",Fresh Cut Roses
4,"March 31, 2021",Fresh Cut Roses
2,"March 31, 2021",Lilac Blossoms
5,"March 31, 2021",Lilac Blossoms
1,"March 31, 2021",Pink Sands
3,"March 31, 2021",Lilac Blossoms
1,"March 31, 2021",Pink Sands
5,"March 31, 2021",Pink Sands
5,"March 30, 2021",Lilac Blossoms
5,"March 30, 2021",Lilac Blossoms
3,"March 29, 2021",Pink Sands
5,"March 29, 2021",Lilac Blossoms
1,"March 29, 2021",Lilac Blossoms
5,"March 29, 2021",Lilac Blossoms
5,"March 28, 2021",Fresh Cut Roses
5,"March 28, 2021",Fresh Cut Roses
5,"March 28, 2021",Lavender
5,"March 28, 2021",Beach Walk
5,"March 28, 2021",Pink Sands
2,"March 27, 2021",White Gardenia
1,"March 27, 2021",Lavender
5,"March 26, 2021",Midnight Jasmine
5,"March 26, 2021",Pink Sands
5,"March 26, 2021",Sun & Sand
5,"March 25, 2021",Pink Sands
4,"March 25, 2021",Lilac Blossoms
5,"March 25, 2021",Lilac Blossoms
5,"March 25, 2021",Lilac Blossoms
5,"March 24, 2021",Lilac Blossoms
2,"March 24, 2021",Lilac Blossoms
2,"March 24, 2021",Lilac Blossoms
3,"March 24, 2021",Lilac Blossoms
5,"March 24, 2021",Lilac Blossoms
5,"March 24, 2021",Lilac Blossoms
1,"March 24, 2021",Lilac Blossoms
1,"March 23, 2021",Lilac Blossoms
5,"March 23, 2021",Lilac Blossoms
3,"March 23, 2021",Lilac Blossoms
5,"March 23, 2021","Lavender, Lilac Blossoms"
5,"March 22, 2021",Lilac Blossoms
5,"March 22, 2021",Lilac Blossoms
5,"March 22, 2021",Lilac Blossoms
3,"March 22, 2021",Lilac Blossoms
5,"March 22, 2021",Pink Sands
3,"March 22, 2021",Lavender
2,"March 21, 2021",Pink Sands
5,"March 21, 2021",Pink Sands
1,"March 21, 2021",Pink Sands
4,"March 20, 2021",Enchanted Moon
5,"March 20, 2021",Lilac Blossoms
5,"March 20, 2021",Lilac Blossoms
1,"March 20, 2021",Lilac Blossoms
5,"March 20, 2021",Pink Sands
5,"March 19, 2021",Lilac Blossoms
5,"March 19, 2021",Pink Sands
5,"March 18, 2021",Fresh Cut Roses
5,"March 18, 2021",Lilac Blossoms
5,"March 18, 2021",Pink Sands
5,"March 18, 2021",Lilac Blossoms
2,"March 17, 2021",Lilac Blossoms
5,"March 17, 2021",Lilac Blossoms
5,"March 17, 2021",Pink Sands
4,"March 17, 2021",Lilac Blossoms
5,"March 16, 2021",Pink Sands
1,"March 16, 2021",Flowers in the Sun
5,"March 16, 2021",Lilac Blossoms
5,"March 16, 2021",Fresh Cut Roses
3,"March 16, 2021",Lilac Blossoms
5,"March 16, 2021",Enchanted Moon
5,"March 16, 2021",Lilac Blossoms
3,"March 16, 2021",Lilac Blossoms
2,"March 16, 2021",Blue Summer Sky
1,"March 15, 2021",Pink Sands
4,"March 15, 2021",Lilac Blossoms
5,"March 15, 2021",Pink Sands
4,"March 15, 2021",Lilac Blossoms
3,"March 14, 2021",Lilac Blossoms
5,"March 14, 2021",White Gardenia
1,"March 14, 2021",Lilac Blossoms
5,"March 13, 2021",Pink Sands
1,"March 13, 2021",Lilac Blossoms
5,"March 13, 2021",Lilac Blossoms
5,"March 13, 2021",Flowers in the Sun
5,"March 12, 2021",Pink Sands
1,"March 12, 2021",Lilac Blossoms
5,"March 11, 2021",Lilac Blossoms
1,"March 11, 2021",Lilac Blossoms
5,"March 11, 2021",Pink Sands
5,"March 10, 2021",Pink Sands
5,"March 10, 2021",Pink Sands
5,"March 9, 2021",Pink Sands
5,"March 9, 2021",Golden Sands
5,"March 9, 2021",Sun & Sand
5,"March 9, 2021",Pink Sands
5,"March 9, 2021",Pink Sands
5,"March 9, 2021",Lilac Blossoms
3,"March 9, 2021",Pink Sands
5,"March 9, 2021",Pink Sands
5,"March 8, 2021",A Calm & Quiet Place
3,"March 8, 2021",Pink Sands
3,"March 8, 2021",Pink Sands
1,"March 8, 2021",Pink Sands
5,"March 7, 2021",Lilac Blossoms
3,"March 7, 2021",Lavender Vanilla
